20250318-230123<DEBUG:00003384>: nSocket = 1040, nSendFlag = 0, Error = 10054
20250318-230123<DEBUG:00005640>: nSocket = 1040, nSendFlag = 1, Error = 10054
20250318-230154<DEBUG:00005998>: nSocket = 916, nSendFlag = 0, Error = 10054
20250318-230154<DEBUG:00005640>: nSocket = 916, nSendFlag = 1, Error = 10054
20250318-230154<DEBUG:000059D8>: nSocket = 972, nSendFlag = 0, Error = 10054
20250318-230154<DEBUG:00005640>: nSocket = 972, nSendFlag = 1, Error = 10054
20250318-230155<DEBUG:00005928>: nSocket = 888, nSendFlag = 0, Error = 10054
20250318-230155<DEBUG:00005640>: nSocket = 888, nSendFlag = 1, Error = 10054
20250318-230155<DEBUG:000059D0>: nSocket = 944, nSendFlag = 0, Error = 10054
20250318-230155<DEBUG:00005640>: nSocket = 944, nSendFlag = 1, Error = 10054
20250318-230156<DEBUG:00005920>: nSocket = 860, nSendFlag = 0, Error = 10054
20250318-230156<DEBUG:00005640>: nSocket = 860, nSendFlag = 1, Error = 10054
20250318-230156<DEBUG:00005910>: nSocket = 832, nSendFlag = 0, Error = 10054
20250318-230156<DEBUG:00005640>: nSocket = 832, nSendFlag = 1, Error = 10054
20250318-230156<DEBUG:000058D4>: nSocket = 804, nSendFlag = 0, Error = 10054
20250318-230156<DEBUG:00005640>: nSocket = 804, nSendFlag = 1, Error = 10054
